Section,Grade Level,Major
Sec. 1,4. (senior),undeclared
Sec. 1,1. (freshman),neuroscience
Sec. 2,4. (senior),math
Sec. 1,1. (freshman),data.sci
Sec. 2,2. (sophomore),undeclared
Sec. 2,2. (sophomore),undeclared
Sec. 1,2. (sophomore),undeclared
Sec. 1,4. (senior),undeclared
Sec. 2,4. (senior),data.sci
Sec. 1,2. (sophomore),data.sci
Sec. 2,2. (sophomore),bus. adm.
Sec. 2,4. (senior),math
Sec. 2,2. (sophomore),undeclared
Sec. 1,3. (junior),data.sci
Sec. 2,2. (sophomore),neuroscience
Sec. 1,1. (freshman),neuroscience
Sec. 2,3. (junior),neuroscience
Sec. 2,4. (senior),bus. adm.
Sec. 2,4. (senior),math
Sec. 2,4. (senior),data.sci
Sec. 2,1. (freshman),undeclared
Sec. 2,3. (junior),bus. adm.
Sec. 1,2. (sophomore),math
Sec. 2,1. (freshman),neuroscience
Sec. 1,4. (senior),math
Sec. 1,3. (junior),math
Sec. 2,3. (junior),bus. adm.
Sec. 2,1. (freshman),bus. adm.
Sec. 2,4. (senior),undeclared
Sec. 2,2. (sophomore),math
Sec. 2,4. (senior),data.sci
Sec. 2,1. (freshman),neuroscience
Sec. 1,1. (freshman),bus. adm.
Sec. 2,2. (sophomore),neuroscience
Sec. 2,1. (freshman),bus. adm.
Sec. 2,2. (sophomore),data.sci
Sec. 1,2. (sophomore),data.sci
Sec. 2,1. (freshman),undeclared
